amfi_code,scheme_name,fund_house,alpha_pct,beta
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,26.98375144191807,0.023683558075848626
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,29.26358334175106,0.0005490042506317005
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,27.330465038306055,-0.022829569792426566
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,27.19535450128533,0.005103525830528331
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,21.19482701352573,0.016232169761416993
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,26.07666908004223,-0.06626542862803761
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,23.201007160635083,-0.03175144113890976
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,28.27036785246582,0.018133884083859218
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,30.336965386983323,-0.0231960620440597
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,21.399784776051213,0.021086316250128002
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,30.05787817097677,0.011455159960520721
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,26.598577542043046,-0.0025230046646992563
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,21.829397904608644,-0.00835383212696199
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,19.86859936686296,-0.02615930751351343
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,17.729754927531765,0.0488204042595774
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,15.643835948169668,-0.036639006718609354
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,15.136354648239239,-0.0014335213897801022
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,17.048756803412697,-0.019486785689474546
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,17.703302365844074,-0.040268952369820595
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,20.873010086942337,-0.02638771994384303
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,16.25385327998104,0.041896462728119754
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,8.232801295222094,0.02588321244009314
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,16.211256794033254,0.016682689437770855
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,13.173190226099432,-0.004050271130006519
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,11.98910097121797,0.009054412621739153
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,17.50072167561127,0.10349663691337586
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,13.042924450705446,0.036356399022199816
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,6.746210411099539,-0.0004440926329707225
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.4556774953759986,-0.00040074423947840073
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.074772999976104,0.0012566742731558612
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.620895216638369,-0.006413850728276463
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,4.281792031506088,0.0011582183155281454
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,6.086145795787115,0.0002667096833823833
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,7.80443887615508,0.018056874208118145
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,4.882421594553985,0.06200180438267165
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,6.899529821677549,0.009730745001153628
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,10.897091901704538,-0.06528924788351527
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,4.801595363775955,-0.06695117463929204
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,2.8969397866379443,-0.042125029021894314
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,3.747580763443282,-0.05826843143880895
