amfi_code,scheme_name,fund_house,category,sub_category,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,worst_dd_start,worst_dd_end,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_max_dd,scorecard
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,1.46,20.37595706234765,33.991970400445304,30.974107501859027,1.0682238272314732,1.490738952294708,26.98375144191807,0.023683558075848626,-11.265729075028275,2023-07-11,2023-10-20,97.5,100.0,85.0,45.0,82.5,86.25
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,1.36,29.627681171526877,31.769242852237323,32.82740607461121,0.8832556184698839,1.2858427838168305,29.26358334175106,0.0005490042506317005,-18.188513572116292,2024-10-24,2025-01-23,90.0,92.5,95.0,65.0,40.0,82.88
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,1.45,26.677583918827153,29.57511058901836,30.907454754005492,0.965560651744012,1.4795034584167766,27.330465038306055,-0.022829569792426566,-12.97396816518679,2022-03-07,2022-04-13,85.0,97.5,90.0,47.5,70.0,82.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,1.38,53.277195495404996,32.43397122906222,30.12315310072722,0.8082678003905593,1.1442164603950202,27.19535450128533,0.005103525830528331,-16.217208574644847,2022-03-11,2022-05-12,92.5,85.0,87.5,60.0,52.5,80.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,0.8,13.073788394478303,32.478927222623,23.29511862010305,0.7146822636441237,1.0639638792991957,21.19482701352573,0.016232169761416993,-12.588275606922517,2022-10-04,2023-05-30,95.0,75.0,70.0,72.5,72.5,79.38
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,1.38,22.277897154308548,35.10252788903541,28.214417193652032,0.7305467735561727,1.0552844773147763,26.07666908004223,-0.06626542862803761,-20.960883862039193,2022-04-14,2022-08-11,100.0,80.0,80.0,60.0,32.5,78.25
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,1.54,60.489297118400344,30.448613060027817,25.804686425584002,0.8609773262277756,1.2914833497690066,23.201007160635083,-0.03175144113890976,-15.012385498645331,2023-08-24,2024-02-05,87.5,90.0,77.5,26.25,60.0,74.19
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,1.6,39.78380253854239,29.17135767741186,31.94952310833252,0.9190465356358282,1.3528150221233652,28.27036785246582,0.018133884083859218,-16.39674294693263,2023-08-10,2023-10-20,82.5,95.0,92.5,11.25,50.0,73.69
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,1.43,82.85157468100046,26.66309129954312,32.423536152454616,0.7116901743847246,1.0672557743438265,30.336965386983323,-0.0231960620440597,-28.706005721764548,2024-08-28,2025-05-14,72.5,70.0,100.0,50.0,12.5,68.0
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,1.6,47.96379447633372,28.960211096593724,23.53836133468803,0.717408995989017,1.0639085968011799,21.399784776051213,0.021086316250128002,-11.291596329323072,2023-04-24,2023-07-05,80.0,77.5,72.5,11.25,80.0,67.56
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,1.52,65.19546577826334,26.99350260734621,32.287440451573616,0.7144216579881013,1.0309617308730288,30.05787817097677,0.011455159960520721,-31.171900300634213,2024-05-03,2025-01-03,77.5,72.5,97.5,36.25,10.0,67.31
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,1.61,21.497414349538225,26.863103668817146,29.581086910433996,0.8328852279505965,1.167793379907482,26.598577542043046,-0.0025230046646992563,-17.24810575345138,2022-06-06,2022-10-24,75.0,87.5,82.5,7.5,47.5,66.75
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,1.51,34.007895823651204,22.646647456747715,24.049492662391756,0.7588510310771438,1.0988795112458636,21.829397904608644,-0.00835383212696199,-17.41407508665723,2024-01-02,2024-07-19,67.5,82.5,75.0,41.25,45.0,66.56
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,0.66,5.7101178520777784,16.263375081360643,21.524235873769705,0.6482414723266906,0.9265632920561693,19.86859936686296,-0.02615930751351343,-11.803493502764296,2024-05-21,2024-09-02,45.0,67.5,65.0,92.5,75.0,64.75
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,0.92,28.6975804558778,18.429918008610045,19.017795344711462,0.5062729716095955,0.734797599748163,17.729754927531765,0.0488204042595774,-15.200013055606398,2023-12-22,2025-01-01,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,0.72,25.559539940517382,21.084691029380597,16.274217354504273,0.3888288460001742,0.5886328565297931,15.643835948169668,-0.036639006718609354,-18.62974313859551,2023-10-30,2024-02-29,65.0,50.0,47.5,88.75,37.5,58.56
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,0.89,22.510248103762276,20.00321571698329,15.957231179671737,0.39318819691240553,0.5694261625753934,15.136354648239239,-0.0014335213897801022,-11.650624505409091,2022-01-03,2022-06-09,60.0,52.5,45.0,70.0,77.5,58.38
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,1.57,20.222858595384665,19.662361245910965,18.23237888770595,0.5197971450361778,0.7729719235511073,17.048756803412697,-0.019486785689474546,-10.85986215250232,2022-02-03,2022-03-29,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,1.42,8.495135972254552,13.974980348212673,18.785325598262204,0.5165503915082101,0.7329158023031636,17.703302365844074,-0.040268952369820595,-13.897862823061635,2023-09-19,2023-11-09,40.0,60.0,60.0,52.5,67.5,53.62
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,1.52,14.279834500870736,14.744434832760533,22.516869007113847,0.6406730942266642,0.955767194381326,20.873010086942337,-0.02638771994384303,-15.27259422823477,2023-09-05,2024-01-24,42.5,65.0,67.5,36.25,55.00000000000001,53.44
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,1.41,41.85299002066023,18.417429266835228,17.08486725575018,0.40461547832920475,0.5781364061026485,16.25385327998104,0.041896462728119754,-19.82565826298267,2023-03-31,2023-08-14,52.5,55.00000000000001,52.5,55.00000000000001,35.0,51.75
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,0.75,19.781538524100494,20.8115598266319,7.897557854375958,-0.04707325681075911,-0.06789981210009612,8.232801295222094,0.02588321244009314,-21.751396370148225,2022-02-24,2023-05-22,62.5,32.5,32.5,82.5,25.0,48.25
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,1.64,13.59304393755194,25.549670172502026,16.84112024730753,0.3846373345033844,0.571857543023029,16.211256794033254,0.016682689437770855,-21.539827112383225,2022-01-03,2022-07-04,70.0,47.5,50.0,3.75,27.500000000000004,46.19
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,1.54,18.12461925339035,18.03973982038829,13.393275924001857,0.2396633677728517,0.33295209417121097,13.173190226099432,-0.004050271130006519,-14.844576917771747,2022-01-03,2022-02-04,50.0,40.0,42.5,26.25,62.5,43.69
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,0.78,15.455077019290385,11.242518737374208,11.301817123279978,0.13479784106103954,0.19294712720125923,11.98910097121797,0.009054412621739153,-21.11727956013212,2025-04-04,2025-09-12,37.5,37.5,37.5,77.5,30.0,42.75
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,1.53,15.822866445588701,8.0060298597036,16.373474033415757,0.29234325101099307,0.41130360047665027,17.50072167561127,0.10349663691337586,-23.34488614483311,2025-04-09,2026-02-20,35.0,45.0,57.49999999999999,31.25,22.5,40.19
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,1.59,16.849551529398422,17.263014444437943,13.53221114899239,0.25511741256223125,0.3766193408262903,13.042924450705446,0.036356399022199816,-17.57361416468729,2024-01-09,2025-02-14,47.5,42.5,40.0,15.0,42.5,39.38
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,0.74,7.430320855847317,7.392538786263403,7.237539728384412,-3.6501838785684795,-7.208233748898268,6.746210411099539,-0.0004440926329707225,-0.09773140045925555,2025-10-16,2025-10-20,30.0,7.5,25.0,85.0,100.0,38.62
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,0.6,7.125369741102916,6.694394239074852,6.915272985067156,-4.000348969233409,-7.768003070332341,6.4556774953759986,-0.00040074423947840073,-0.11629327956168556,2024-04-12,2024-04-30,27.500000000000004,5.0,22.5,95.0,97.5,38.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,0.55,10.462462788080341,4.061259859840338,5.316889625171273,-0.8505789759662294,-1.2383022198784408,5.074772999976104,0.0012566742731558612,-8.316361763638703,2023-02-09,2024-02-09,20.0,12.5,15.0,100.0,87.5,35.88
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,0.77,5.525880326360788,5.838988442093762,5.889418716346717,-0.7430986305648412,-1.045909778283203,5.620895216638369,-0.006413850728276463,-4.328728923970093,2024-09-16,2025-04-01,22.5,15.0,17.5,80.0,90.0,35.0
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,0.56,3.7075527018896492,3.9154793546847033,4.458209619173137,-1.0399413574427758,-1.4612200367895027,4.281792031506088,0.0011582183155281454,-4.308263824636349,2023-05-23,2023-07-28,17.5,10.0,7.5,97.5,92.5,33.12
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,0.79,7.241777200393584,6.314299292105274,6.509026855465327,-4.650400707150914,-8.741654278994412,6.086145795787115,0.0002667096833823833,-0.16224980244717857,2023-09-05,2023-09-12,25.0,2.5,20.0,75.0,95.0,32.88
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,1.56,22.518986942465922,7.75416750547262,6.701543482038463,-0.058166811414922526,-0.08069596764131792,7.80443887615508,0.018056874208118145,-24.003511326274886,2023-11-09,2024-10-17,32.5,30.0,30.0,20.0,20.0,28.25
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,0.72,13.957994357447735,-1.337083602283895,2.054484701809378,-0.13617811182970377,-0.19003542050379565,4.882421594553985,0.06200180438267165,-52.57422117012851,2023-01-17,2025-10-28,7.5,25.0,12.5,88.75,2.5,24.56
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,1.64,1.61022963455828,0.5257668501786883,6.367989237605243,-0.13100916883965188,-0.18918833169513888,6.899529821677549,0.009730745001153628,-14.401617909337261,2023-10-12,2025-02-07,12.5,27.500000000000004,27.500000000000004,3.75,65.0,23.19
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,1.53,-24.000309180292632,-4.151453816140693,7.938764837247714,0.052618136475855025,0.07566830445152811,10.897091901704538,-0.06528924788351527,-35.44691649336603,2024-11-21,2026-05-11,5.0,35.0,35.0,31.25,7.5,22.69
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,1.38,-42.81949516662213,-11.703299329834216,1.5215045330823962,-0.15165815861644155,-0.21634600934828307,4.801595363775955,-0.06695117463929204,-51.677753708526566,2025-05-22,2026-05-11,2.5,22.5,10.0,60.0,5.0,17.88
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,1.51,-16.807959958672036,-0.7672319440258146,1.1717454918341197,-0.2948889128510891,-0.4205889785291457,2.8969397866379443,-0.042125029021894314,-28.00112356639287,2025-01-07,2026-04-27,10.0,20.0,2.5,41.25,15.0,16.19
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,1.55,-2.2257773892688015,1.2923525892154508,2.637074367211101,-0.3210192604995431,-0.4728224084369747,3.747580763443282,-0.05826843143880895,-24.734440880673304,2022-03-30,2022-09-15,15.0,17.5,5.0,22.5,17.5,15.0
