amfi_code,scheme_name,fund_house,category,var_95_pct,cvar_95_pct,total_trading_days,mean_daily_return_pct,std_daily_return_pct
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-2.3915,-3.0289,1607,0.0303,1.3741
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-2.3284,-2.969,1607,0.013,1.3351
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,-2.3155,-3.0163,1607,0.0144,1.3289
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,-2.281,-2.994,1607,0.0506,1.3447
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,-2.152,-2.8573,1607,0.0854,1.3241
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,-2.1502,-2.8444,1607,0.0859,1.3401
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,-1.6997,-2.2375,1607,0.0734,1.0347
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,-1.695,-2.1251,1607,0.0223,0.9532
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,-1.6902,-2.185,1607,0.0772,1.0097
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-1.6857,-2.1771,1607,0.0079,0.9659
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,-1.6762,-2.1484,1607,0.0341,0.9777
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,-1.6224,-2.2363,1607,0.083,1.0288
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,-1.5866,-2.0903,1607,0.0754,0.9464
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,-1.5259,-1.9852,1607,0.0804,0.9427
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-1.3743,-1.7964,1607,0.0461,0.8398
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,-1.3327,-1.7114,1607,0.0773,0.8475
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,-1.3313,-1.7384,1607,0.059,0.8226
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,-1.3005,-1.7792,1607,0.0465,0.8117
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,-1.2955,-1.6995,1607,0.0373,0.7648
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,-1.2884,-1.6768,1607,0.0101,0.7749
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,-1.2693,-1.6166,1607,0.0197,0.7431
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,-1.2607,-1.6343,1607,0.0768,0.7575
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,-1.2588,-1.6332,1607,0.0236,0.7449
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,-1.2531,-1.6226,1607,0.0603,0.766
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,-1.2502,-1.6964,1607,0.0507,0.7819
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,-1.2333,-1.6328,1607,0.0619,0.7545
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-1.2173,-1.6075,1607,0.0609,0.7768
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,-1.2133,-1.61,1607,0.0499,0.7402
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,-1.2129,-1.6078,1607,0.0561,0.7433
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,-1.2066,-1.5542,1607,0.0441,0.746
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,-1.1827,-1.523,1607,0.0656,0.733
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,-1.1725,-1.5249,1607,0.0373,0.7175
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,-1.1047,-1.4381,1607,0.0482,0.6844
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,-1.1033,-1.4938,1607,0.0429,0.692
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,-0.3429,-0.4618,1607,0.0159,0.2115
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,-0.3344,-0.4541,1607,0.0144,0.2125
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,-0.3338,-0.4581,1607,0.0122,0.2081
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,-0.0218,-0.0371,1607,0.0173,0.0291
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,-0.0204,-0.0362,1607,0.0183,0.0297
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,-0.0196,-0.0325,1607,0.0191,0.0289
