scheme_code,scheme_name,date,nav,fund_house,scheme_category
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,02-06-2026,103.5959,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,01-06-2026,103.0948,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,31-05-2026,104.3083,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,29-05-2026,104.3129,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,27-05-2026,105.9296,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,26-05-2026,105.5115,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,25-05-2026,105.9217,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,22-05-2026,104.7708,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,21-05-2026,104.4915,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,20-05-2026,104.6046,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,19-05-2026,104.2767,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,18-05-2026,104.1556,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,15-05-2026,104.2918,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,14-05-2026,104.5531,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,13-05-2026,103.396,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,12-05-2026,103.3384,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,11-05-2026,105.6066,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,08-05-2026,107.15,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,07-05-2026,107.6729,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,06-05-2026,107.3354,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,05-05-2026,105.8387,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,04-05-2026,105.7449,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,30-04-2026,105.2845,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,29-04-2026,106.0698,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,28-04-2026,105.6212,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,27-04-2026,106.0528,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,24-04-2026,105.0928,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,23-04-2026,106.1301,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,22-04-2026,106.8299,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,21-04-2026,107.2434,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,20-04-2026,106.2063,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,17-04-2026,105.9826,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,16-04-2026,105.117,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,15-04-2026,104.9259,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,13-04-2026,103.2303,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,10-04-2026,104.1348,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,09-04-2026,102.5494,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,08-04-2026,103.2833,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,07-04-2026,99.3876,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,06-04-2026,98.8014,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,02-04-2026,97.52,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,01-04-2026,97.7184,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,31-03-2026,96.2753,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,30-03-2026,96.2768,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,27-03-2026,98.6739,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,25-03-2026,100.7319,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,24-03-2026,98.6597,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,23-03-2026,96.713,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,20-03-2026,99.6142,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,19-03-2026,99.1597,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,18-03-2026,102.4592,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,17-03-2026,101.2496,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,16-03-2026,100.396,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,13-03-2026,99.7111,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,12-03-2026,101.9718,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,11-03-2026,102.9776,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,10-03-2026,104.7593,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,09-03-2026,103.3882,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,06-03-2026,105.405,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,05-03-2026,106.7297,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,04-03-2026,105.4928,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,02-03-2026,107.5231,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,28-02-2026,108.9325,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,27-02-2026,108.9345,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,26-02-2026,110.2945,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,25-02-2026,109.9293,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,24-02-2026,109.3681,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,23-02-2026,110.291,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,20-02-2026,109.5273,Axis Mutual Fund,Equity Scheme - ELSS
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,19-02-2026,109.0091,Axis Mutual Fund,Equity Scheme - ELSS
